x y z m s
1.02 1 16.96 16 8
1.02 1 16.96 16 8
1.02 1 16.96 16 8
1.02 1 16.96 16 9
1.02 1 16.97 16 9
1.02 1 16.97 16 9
1.02 1 16.97 16 9
1.02 1 16.97 16 9
1.02 1 16.97 16 9
1.02 1 16.97 16 9
1.02 1 16.97 16 9
1.02 1 16.97 16 9
1.02 1 16.98 16 9
1.02 1 16.98 16 9
1.02 0.99 16.98 16 9
1.02 0.99 16.98 16 9
1.02 0.99 16.98 16 9
1.02 0.99 16.98 16 9
1.02 0.99 16.98 16 9
1.01 0.99 16.98 16 9
1.01 0.99 16.98 16 9
1.01 0.99 16.98 16 9
1.01 0.99 16.98 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1.01 0.99 16.99 16 10
1 0.98 16.99 16 10
1 0.98 16.99 16 10
1 0.98 16.99 16 10
1 0.98 16.99 16 10
1 0.98 16.99 16 10
1 0.98 16.99 16 10
1 0.98 16.99 16 10
1 0.98 16.99 16 10
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17 16 11
1 0.98 17.01 16 11
1 0.98 17.01 16 11
1 0.98 17.01 16 11
1 0.98 17.01 16 11
1 0.98 17.01 16 11
0.99 0.98 17.01 16 11
0.99 0.98 17.01 16 11
0.99 0.98 17.01 16 11
0.99 0.98 17.01 16 11
0.99 0.98 17.01 16 12
0.99 0.98 17.01 16 12
0.99 0.98 17.01 16 12
0.99 0.98 17.01 16 12
0.98 0.98 17.01 16 12
0.98 0.98 17.01 16 12
0.98 0.98 17.01 16 12
0.98 0.98 17.01 16 12
0.98 0.98 17.01 16 12
0.98 0.98 17.01 16 12
0.98 0.99 17.01 16 12
0.98 0.99 17.01 16 12
0.98 0.99 17.01 16 12
0.98 0.99 17.01 16 12
0.98 0.99 17.02 16 12
0.97 0.99 17.02 16 12
0.97 0.99 17.02 16 12
0.97 0.99 17.02 16 12
0.97 0.99 17.02 16 12
0.97 1 17.02 16 12
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.97 1 17.02 16 13
0.96 1.01 17.02 16 13
0.96 1.01 17.03 16 13
0.96 1.01 17.03 16 13
0.96 1.01 17.03 16 13
0.96 1.01 17.03 16 13
0.96 1.01 17.03 16 13
0.96 1.01 17.03 16 13
0.96 1.01 17.03 16 13
0.96 1.01 17.03 16 13
0.96 1.01 17.03 16 14
0.96 1.01 17.03 16 14
0.96 1.01 17.03 16 14
0.96 1.01 17.03 16 14
0.96 1.01 17.03 16 14
0.96 1.01 17.03 16 14
0.96 1.01 17.03 16 14
0.96 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 14
0.95 1.01 17.03 16 15
0.95 1.01 17.03 16 15
0.95 1 17.03 16 15
0.94 1 17.03 16 15
0.94 1 17.03 16 15
0.94 1 17.03 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 15
0.94 1 17.02 16 16
0.93 1 17.02 16 16
0.93 1 17.02 16 16
0.93 0.99 17.02 16 16
0.94 0.99 17.02 16 16
0.94 0.99 17.02 16 16
0.94 0.99 17.02 16 16
0.93 0.99 17.02 16 16
0.93 0.99 17.02 16 16
0.93 0.99 17.02 16 16
0.93 0.99 17.02 16 16
0.93 0.99 17.02 16 16
0.93 0.99 17.03 16 16
0.93 0.99 17.03 16 16
0.93 0.99 17.03 16 16
0.93 0.98 17.03 16 16
0.93 0.98 17.03 16 16
0.93 0.98 17.03 16 16
0.93 0.98 17.03 16 16
0.93 0.98 17.03 16 16
0.93 0.98 17.03 16 17
0.93 0.98 17.03 16 17
0.93 0.98 17.03 16 17
0.93 0.98 17.03 16 17
0.93 0.98 17.03 16 17
0.93 0.98 17.03 16 17
0.93 0.98 17.03 16 17
0.92 0.98 17.03 16 17
0.92 0.98 17.03 16 17
